Country,Region,Year,AvgTemperature
France,Europe,2013,11.3
France,Europe,2014,11.7
France,Europe,2015,11.5
France,Europe,2016,11.2
France,Europe,2017,11.8
France,Europe,2018,12.1
France,Europe,2019,12.3
Germany,Europe,2000,8.9
Germany,Europe,2001,9.2
Germany,Europe,2002,9.0
Germany,Europe,2003,9.8
Germany,Europe,2004,8.7
Germany,Europe,2005,9.0
Germany,Europe,2006,9.5
Germany,Europe,2007,9.3
Germany,Europe,2008,9.0
Germany,Europe,2009,9.4
Germany,Europe,2010,8.6
Germany,Europe,2011,9.6
Germany,Europe,2012,9.2
Germany,Europe,2013,9.5
Germany,Europe,2014,10.0
Germany,Europe,2015,9.8
Germany,Europe,2016,9.5
Germany,Europe,2017,10.1
Germany,Europe,2018,10.5
Germany,Europe,2019,10.7
Ghana,Africa,2000,26.8
Ghana,Africa,2001,27.1
Ghana,Africa,2002,26.9
Ghana,Africa,2003,27.3
Ghana,Africa,2004,27.0
Ghana,Africa,2005,27.4
Ghana,Africa,2006,27.7
Ghana,Africa,2007,27.2
Ghana,Africa,2008,27.0
Ghana,Africa,2009,27.5
Ghana,Africa,2010,27.9
Ghana,Africa,2011,27.4
Ghana,Africa,2012,27.8
Ghana,Africa,2013,28.1
Ghana,Africa,2014,27.6
Ghana,Africa,2015,28.3
Ghana,Africa,2016,27.9
Ghana,Africa,2017,28.5
Ghana,Africa,2018,28.1
Ghana,Africa,2019,28.7
India,Asia,2000,22.4
India,Asia,2001,22.7
India,Asia,2002,22.5
India,Asia,2003,23.0
India,Asia,2004,22.6
India,Asia,2005,23.1
India,Asia,2006,23.4
India,Asia,2007,22.9
India,Asia,2008,22.7
India,Asia,2009,23.2
India,Asia,2010,23.6
India,Asia,2011,23.1
India,Asia,2012,23.5
India,Asia,2013,23.8
India,Asia,2014,23.3
India,Asia,2015,24.0
India,Asia,2016,23.6
India,Asia,2017,24.2
India,Asia,2018,23.8
India,Asia,2019,24.4
Indonesia,Asia,2000,25.6
Indonesia,Asia,2001,25.9
Indonesia,Asia,2002,25.7
Indonesia,Asia,2003,26.1
Indonesia,Asia,2004,25.8
Indonesia,Asia,2005,26.2
Indonesia,Asia,2006,26.5
Indonesia,Asia,2007,26.0
Indonesia,Asia,2008,25.8
Indonesia,Asia,2009,26.3
Indonesia,Asia,2010,26.7
Indonesia,Asia,2011,26.2
Indonesia,Asia,2012,26.6
Indonesia,Asia,2013,26.9
Indonesia,Asia,2014,26.4
Indonesia,Asia,2015,27.1
Indonesia,Asia,2016,26.7
Indonesia,Asia,2017,27.3
Indonesia,Asia,2018,26.9
Indonesia,Asia,2019,27.5
Iran,Middle East,2000,16.3
Iran,Middle East,2001,16.6
Iran,Middle East,2002,16.4
Iran,Middle East,2003,16.9
Iran,Middle East,2004,16.5
Iran,Middle East,2005,17.0
Iran,Middle East,2006,17.3
Iran,Middle East,2007,16.8
Iran,Middle East,2008,16.6
Iran,Middle East,2009,17.1
Iran,Middle East,2010,17.5
Iran,Middle East,2011,17.0
Iran,Middle East,2012,17.4
Iran,Middle East,2013,17.7
Iran,Middle East,2014,17.2
Iran,Middle East,2015,17.9
Iran,Middle East,2016,17.5
Iran,Middle East,2017,18.1
Iran,Middle East,2018,17.7
Iran,Middle East,2019,18.3
Iraq,Middle East,2000,19.8
Iraq,Middle East,2001,20.1
Iraq,Middle East,2002,19.9
Iraq,Middle East,2003,20.4
Iraq,Middle East,2004,20.0
Iraq,Middle East,2005,20.5
Iraq,Middle East,2006,20.8
Iraq,Middle East,2007,20.3
Iraq,Middle East,2008,20.1
Iraq,Middle East,2009,20.6
Iraq,Middle East,2010,21.0
Iraq,Middle East,2011,20.5
Iraq,Middle East,2012,20.9
Iraq,Middle East,2013,21.2
Iraq,Middle East,2014,20.7
Iraq,Middle East,2015,21.4
Iraq,Middle East,2016,21.0
Iraq,Middle East,2017,21.6
Iraq,Middle East,2018,21.2
Iraq,Middle East,2019,21.8
Italy,Europe,2000,12.1
Italy,Europe,2001,12.4
Italy,Europe,2002,12.2
Italy,Europe,2003,13.1
Italy,Europe,2004,11.9
Italy,Europe,2005,12.2
Italy,Europe,2006,12.7
Italy,Europe,2007,12.5
Italy,Europe,2008,12.2
Italy,Europe,2009,12.6
Italy,Europe,2010,11.9
Italy,Europe,2011,12.8
Italy,Europe,2012,12.4
Italy,Europe,2013,12.7
Italy,Europe,2014,13.1
Italy,Europe,2015,12.9
Italy,Europe,2016,12.6
Italy,Europe,2017,13.2
Italy,Europe,2018,13.5
Italy,Europe,2019,13.7
Japan,Asia,2000,11.5
Japan,Asia,2001,11.8
Japan,Asia,2002,11.6
Japan,Asia,2003,12.0
Japan,Asia,2004,11.7
Japan,Asia,2005,12.1
Japan,Asia,2006,12.4
Japan,Asia,2007,11.9
Japan,Asia,2008,11.7
Japan,Asia,2009,12.2
Japan,Asia,2010,12.6
Japan,Asia,2011,12.1
Japan,Asia,2012,12.5
Japan,Asia,2013,12.8
Japan,Asia,2014,12.3
Japan,Asia,2015,13.0
Japan,Asia,2016,12.6
Japan,Asia,2017,13.2
Japan,Asia,2018,12.8
Japan,Asia,2019,13.4
Kenya,Africa,2000,19.5
Kenya,Africa,2001,19.8
Kenya,Africa,2002,19.6
Kenya,Africa,2003,20.1
Kenya,Africa,2004,19.7
Kenya,Africa,2005,20.2
Kenya,Africa,2006,20.5
Kenya,Africa,2007,20.0
Kenya,Africa,2008,19.8
Kenya,Africa,2009,20.3
Kenya,Africa,2010,20.7
Kenya,Africa,2011,20.2
Kenya,Africa,2012,20.6
Kenya,Africa,2013,20.9
Kenya,Africa,2014,20.4
Kenya,Africa,2015,21.1
Kenya,Africa,2016,20.7
Kenya,Africa,2017,21.3
Kenya,Africa,2018,20.9
Kenya,Africa,2019,21.5
Malaysia,Asia,2000,26.3
Malaysia,Asia,2001,26.6
Malaysia,Asia,2002,26.4
Malaysia,Asia,2003,26.8
Malaysia,Asia,2004,26.5
Malaysia,Asia,2005,26.9
Malaysia,Asia,2006,27.2
Malaysia,Asia,2007,26.7
Malaysia,Asia,2008,26.5
Malaysia,Asia,2009,27.0
Malaysia,Asia,2010,27.4
Malaysia,Asia,2011,26.9
Malaysia,Asia,2012,27.3
Malaysia,Asia,2013,27.6
Malaysia,Asia,2014,27.1
Malaysia,Asia,2015,27.8
Malaysia,Asia,2016,27.4
Malaysia,Asia,2017,28.0
Malaysia,Asia,2018,27.6
Malaysia,Asia,2019,28.2
Mexico,North America,2000,17.8
Mexico,North America,2001,18.1
Mexico,North America,2002,17.9
Mexico,North America,2003,18.4
Mexico,North America,2004,18.0
Mexico,North America,2005,18.5
Mexico,North America,2006,18.8
Mexico,North America,2007,18.3
Mexico,North America,2008,18.1
Mexico,North America,2009,18.6
Mexico,North America,2010,19.0
Mexico,North America,2011,18.5
Mexico,North America,2012,18.9
Mexico,North America,2013,19.2
Mexico,North America,2014,18.7
Mexico,North America,2015,19.4
Mexico,North America,2016,19.0
Mexico,North America,2017,19.6
Mexico,North America,2018,19.2
Mexico,North America,2019,19.8
Morocco,Africa,2000,17.2
Morocco,Africa,2001,17.5
Morocco,Africa,2002,17.3
Morocco,Africa,2003,17.8
Morocco,Africa,2004,17.4
Morocco,Africa,2005,17.9
Morocco,Africa,2006,18.2
Morocco,Africa,2007,17.7
Morocco,Africa,2008,17.5
Morocco,Africa,2009,18.0
Morocco,Africa,2010,18.4
Morocco,Africa,2011,17.9
Morocco,Africa,2012,18.3
Morocco,Africa,2013,18.6
Morocco,Africa,2014,18.1
Morocco,Africa,2015,18.8
Morocco,Africa,2016,18.4
Morocco,Africa,2017,19.0
Morocco,Africa,2018,18.6
Morocco,Africa,2019,19.2
Netherlands,Europe,2000,9.4
Netherlands,Europe,2001,9.7
Netherlands,Europe,2002,9.5
Netherlands,Europe,2003,10.3
Netherlands,Europe,2004,9.2
Netherlands,Europe,2005,9.5
Netherlands,Europe,2006,10.0
Netherlands,Europe,2007,9.8
Netherlands,Europe,2008,9.5
Netherlands,Europe,2009,9.9
Netherlands,Europe,2010,9.1
Netherlands,Europe,2011,10.1
Netherlands,Europe,2012,9.7
Netherlands,Europe,2013,10.0
Netherlands,Europe,2014,10.5
Netherlands,Europe,2015,10.3
Netherlands,Europe,2016,10.0
Netherlands,Europe,2017,10.6
Netherlands,Europe,2018,11.0
Netherlands,Europe,2019,11.2
New Zealand,Oceania,2000,11.8
New Zealand,Oceania,2001,12.1
New Zealand,Oceania,2002,11.9
New Zealand,Oceania,2003,12.3
New Zealand,Oceania,2004,12.0
New Zealand,Oceania,2005,12.4
New Zealand,Oceania,2006,12.7
New Zealand,Oceania,2007,12.2
New Zealand,Oceania,2008,12.0
New Zealand,Oceania,2009,12.5
New Zealand,Oceania,2010,12.9
New Zealand,Oceania,2011,12.4
New Zealand,Oceania,2012,12.8
New Zealand,Oceania,2013,13.1
New Zealand,Oceania,2014,12.6
New Zealand,Oceania,2015,13.3
New Zealand,Oceania,2016,12.9
New Zealand,Oceania,2017,13.5
New Zealand,Oceania,2018,13.1
New Zealand,Oceania,2019,13.7
Nigeria,Africa,2000,26.5
Nigeria,Africa,2001,26.8
Nigeria,Africa,2002,26.6
Nigeria,Africa,2003,27.0
Nigeria,Africa,2004,26.7
Nigeria,Africa,2005,27.1
Nigeria,Africa,2006,27.4
Nigeria,Africa,2007,26.9
Nigeria,Africa,2008,26.7
Nigeria,Africa,2009,27.2
Nigeria,Africa,2010,27.6
Nigeria,Africa,2011,27.1
Nigeria,Africa,2012,27.5
Nigeria,Africa,2013,27.8
Nigeria,Africa,2014,27.3
Nigeria,Africa,2015,28.0
Nigeria,Africa,2016,27.6
Nigeria,Africa,2017,28.2
Nigeria,Africa,2018,27.8
Nigeria,Africa,2019,28.4
Norway,Europe,2000,1.2
Norway,Europe,2001,1.5
Norway,Europe,2002,1.3
Norway,Europe,2003,1.8
Norway,Europe,2004,1.0
Norway,Europe,2005,1.4
Norway,Europe,2006,1.9
Norway,Europe,2007,1.7
Norway,Europe,2008,1.4
Norway,Europe,2009,1.8
Norway,Europe,2010,0.9
Norway,Europe,2011,2.0
Norway,Europe,2012,1.6
Norway,Europe,2013,1.9
Norway,Europe,2014,2.4
Norway,Europe,2015,2.2
Norway,Europe,2016,1.9
Norway,Europe,2017,2.5
Norway,Europe,2018,2.9
Norway,Europe,2019,3.1
Pakistan,Asia,2000,20.1
Pakistan,Asia,2001,20.4
Pakistan,Asia,2002,20.2
Pakistan,Asia,2003,20.7
Pakistan,Asia,2004,20.3
Pakistan,Asia,2005,20.8
Pakistan,Asia,2006,21.1
Pakistan,Asia,2007,20.6
Pakistan,Asia,2008,20.4
Pakistan,Asia,2009,20.9
Pakistan,Asia,2010,21.3
Pakistan,Asia,2011,20.8
Pakistan,Asia,2012,21.2
Pakistan,Asia,2013,21.5
Pakistan,Asia,2014,21.0
Pakistan,Asia,2015,21.7
Pakistan,Asia,2016,21.3
Pakistan,Asia,2017,21.9
Pakistan,Asia,2018,21.5
Pakistan,Asia,2019,22.1
Peru,South America,2000,18.5
Peru,South America,2001,18.8
Peru,South America,2002,18.6
Peru,South America,2003,19.1
Peru,South America,2004,18.7
Peru,South America,2005,19.2
Peru,South America,2006,19.5
Peru,South America,2007,19.0
Peru,South America,2008,18.8
Peru,South America,2009,19.3
Peru,South America,2010,19.7
Peru,South America,2011,19.2
Peru,South America,2012,19.6
Peru,South America,2013,19.9
Peru,South America,2014,19.4
Peru,South America,2015,20.1
Peru,South America,2016,19.7
Peru,South America,2017,20.3
Peru,South America,2018,19.9
Peru,South America,2019,20.5
Philippines,Asia,2000,26.8
Philippines,Asia,2001,27.1
Philippines,Asia,2002,26.9
Philippines,Asia,2003,27.3
Philippines,Asia,2004,27.0
Philippines,Asia,2005,27.4
Philippines,Asia,2006,27.7
Philippines,Asia,2007,27.2
Philippines,Asia,2008,27.0
Philippines,Asia,2009,27.5
Philippines,Asia,2010,27.9
Philippines,Asia,2011,27.4
Philippines,Asia,2012,27.8
Philippines,Asia,2013,28.1
Philippines,Asia,2014,27.6
Philippines,Asia,2015,28.3
Philippines,Asia,2016,27.9
Philippines,Asia,2017,28.5
Philippines,Asia,2018,28.1
Philippines,Asia,2019,28.7
Poland,Europe,2000,7.2
Poland,Europe,2001,7.5
Poland,Europe,2002,7.3
Poland,Europe,2003,7.9
Poland,Europe,2004,7.0
Poland,Europe,2005,7.3
Poland,Europe,2006,7.8
Poland,Europe,2007,7.6
Poland,Europe,2008,7.3
Poland,Europe,2009,7.7
Poland,Europe,2010,6.9
Poland,Europe,2011,7.9
Poland,Europe,2012,7.5
Poland,Europe,2013,7.8
Poland,Europe,2014,8.3
Poland,Europe,2015,8.1
Poland,Europe,2016,7.8
Poland,Europe,2017,8.4
Poland,Europe,2018,8.8
Poland,Europe,2019,9.0
Portugal,Europe,2000,14.5
Portugal,Europe,2001,14.8
Portugal,Europe,2002,14.6
Portugal,Europe,2003,15.5
Portugal,Europe,2004,14.3
Portugal,Europe,2005,14.7
Portugal,Europe,2006,15.2
Portugal,Europe,2007,15.0
Portugal,Europe,2008,14.7
Portugal,Europe,2009,15.1
Portugal,Europe,2010,14.4
Portugal,Europe,2011,15.3
Portugal,Europe,2012,14.9
Portugal,Europe,2013,15.2
Portugal,Europe,2014,15.7
Portugal,Europe,2015,15.5
Portugal,Europe,2016,15.2
Portugal,Europe,2017,15.8
Portugal,Europe,2018,16.2
Portugal,Europe,2019,16.4
Romania,Europe,2000,8.5
Romania,Europe,2001,8.8
Romania,Europe,2002,8.6
Romania,Europe,2003,9.2
Romania,Europe,2004,8.3
Romania,Europe,2005,8.6
Romania,Europe,2006,9.1
Romania,Europe,2007,9.4
Romania,Europe,2008,8.8
Romania,Europe,2009,9.0
Romania,Europe,2010,8.2
Romania,Europe,2011,9.2
Romania,Europe,2012,8.9
Romania,Europe,2013,9.2
Romania,Europe,2014,9.7
Romania,Europe,2015,9.5
Romania,Europe,2016,9.2
Romania,Europe,2017,9.8
Romania,Europe,2018,10.2
Romania,Europe,2019,10.4
Russia,Europe,2000,-3.5
Russia,Europe,2001,-3.2
Russia,Europe,2002,-3.4
Russia,Europe,2003,-2.9
Russia,Europe,2004,-3.3
Russia,Europe,2005,-3.0
Russia,Europe,2006,-2.7
Russia,Europe,2007,-3.1
Russia,Europe,2008,-3.4
Russia,Europe,2009,-2.8
Russia,Europe,2010,-2.4
Russia,Europe,2011,-3.1
Russia,Europe,2012,-2.7
Russia,Europe,2013,-2.4
Russia,Europe,2014,-2.9
Russia,Europe,2015,-2.2
Russia,Europe,2016,-1.8
Russia,Europe,2017,-2.3
Russia,Europe,2018,-2.0
Russia,Europe,2019,-1.6
Saudi Arabia,Middle East,2000,23.5
Saudi Arabia,Middle East,2001,23.8
Saudi Arabia,Middle East,2002,23.6
Saudi Arabia,Middle East,2003,24.1
Saudi Arabia,Middle East,2004,23.7
Saudi Arabia,Middle East,2005,24.2
Saudi Arabia,Middle East,2006,24.5
Saudi Arabia,Middle East,2007,24.0
Saudi Arabia,Middle East,2008,23.8
Saudi Arabia,Middle East,2009,24.3
Saudi Arabia,Middle East,2010,24.7
Saudi Arabia,Middle East,2011,24.2
Saudi Arabia,Middle East,2012,24.6
Saudi Arabia,Middle East,2013,24.9
Saudi Arabia,Middle East,2014,24.4
Saudi Arabia,Middle East,2015,25.1
Saudi Arabia,Middle East,2016,24.7
Saudi Arabia,Middle East,2017,25.3
Saudi Arabia,Middle East,2018,24.9
Saudi Arabia,Middle East,2019,25.5
South Africa,Africa,2000,15.8
South Africa,Africa,2001,16.1
South Africa,Africa,2002,15.9
South Africa,Africa,2003,16.4
South Africa,Africa,2004,16.0
South Africa,Africa,2005,16.5
South Africa,Africa,2006,16.8
South Africa,Africa,2007,16.3
South Africa,Africa,2008,16.1
South Africa,Africa,2009,16.6
South Africa,Africa,2010,17.0
South Africa,Africa,2011,16.5
South Africa,Africa,2012,16.9
South Africa,Africa,2013,17.2
South Africa,Africa,2014,16.7
South Africa,Africa,2015,17.4
South Africa,Africa,2016,17.0
South Africa,Africa,2017,17.6
South Africa,Africa,2018,17.2
South Africa,Africa,2019,17.8
South Korea,Asia,2000,10.8
South Korea,Asia,2001,11.1
South Korea,Asia,2002,10.9
South Korea,Asia,2003,11.3
South Korea,Asia,2004,11.0
South Korea,Asia,2005,11.4
South Korea,Asia,2006,11.7
South Korea,Asia,2007,11.2
South Korea,Asia,2008,11.0
South Korea,Asia,2009,11.5
South Korea,Asia,2010,11.9
South Korea,Asia,2011,11.4
South Korea,Asia,2012,11.8
South Korea,Asia,2013,12.1
South Korea,Asia,2014,11.6
South Korea,Asia,2015,12.3
South Korea,Asia,2016,11.9
South Korea,Asia,2017,12.5
South Korea,Asia,2018,12.1
South Korea,Asia,2019,12.7
Spain,Europe,2000,13.2
Spain,Europe,2001,13.5
Spain,Europe,2002,13.3
Spain,Europe,2003,14.2
Spain,Europe,2004,13.0
Spain,Europe,2005,13.4
Spain,Europe,2006,13.9
Spain,Europe,2007,13.7
Spain,Europe,2008,13.4
Spain,Europe,2009,13.8
Spain,Europe,2010,13.1
Spain,Europe,2011,14.0
Spain,Europe,2012,13.6
Spain,Europe,2013,13.9
Spain,Europe,2014,14.4
Spain,Europe,2015,14.2
Spain,Europe,2016,13.9
Spain,Europe,2017,14.5
Spain,Europe,2018,14.9
Spain,Europe,2019,15.1
Sudan,Africa,2000,25.3
Sudan,Africa,2001,25.6
Sudan,Africa,2002,25.4
Sudan,Africa,2003,25.9
Sudan,Africa,2004,25.5
Sudan,Africa,2005,26.0
Sudan,Africa,2006,26.3
Sudan,Africa,2007,25.8
Sudan,Africa,2008,25.6
Sudan,Africa,2009,26.1
Sudan,Africa,2010,26.5
Sudan,Africa,2011,26.0
Sudan,Africa,2012,26.4
Sudan,Africa,2013,26.7
Sudan,Africa,2014,26.2
Sudan,Africa,2015,26.9
Sudan,Africa,2016,26.5
Sudan,Africa,2017,27.1
Sudan,Africa,2018,26.7
Sudan,Africa,2019,27.3
Sweden,Europe,2000,2.8
Sweden,Europe,2001,3.1
Sweden,Europe,2002,2.9
Sweden,Europe,2003,3.5
Sweden,Europe,2004,2.6
Sweden,Europe,2005,2.9
Sweden,Europe,2006,3.5
Sweden,Europe,2007,3.3
Sweden,Europe,2008,3.0
Sweden,Europe,2009,3.4
Sweden,Europe,2010,2.5
Sweden,Europe,2011,3.6
Sweden,Europe,2012,3.2
Sweden,Europe,2013,3.5
Sweden,Europe,2014,4.0
Sweden,Europe,2015,3.8
Sweden,Europe,2016,3.5
Sweden,Europe,2017,4.1
Sweden,Europe,2018,4.5
Sweden,Europe,2019,4.7
Switzerland,Europe,2000,5.8
Switzerland,Europe,2001,6.1
Switzerland,Europe,2002,5.9
Switzerland,Europe,2003,7.1
Switzerland,Europe,2004,5.6
Switzerland,Europe,2005,5.9
Switzerland,Europe,2006,6.5
Switzerland,Europe,2007,6.3
Switzerland,Europe,2008,6.0
Switzerland,Europe,2009,6.4
Switzerland,Europe,2010,5.6
Switzerland,Europe,2011,6.6
Switzerland,Europe,2012,6.2
Switzerland,Europe,2013,6.5
Switzerland,Europe,2014,7.0
Switzerland,Europe,2015,6.8
Switzerland,Europe,2016,6.5
Switzerland,Europe,2017,7.1
Switzerland,Europe,2018,7.5
Switzerland,Europe,2019,7.7
Tanzania,Africa,2000,21.3
Tanzania,Africa,2001,21.6
Tanzania,Africa,2002,21.4
Tanzania,Africa,2003,21.9
Tanzania,Africa,2004,21.5
Tanzania,Africa,2005,22.0
Tanzania,Africa,2006,22.3
Tanzania,Africa,2007,21.8
Tanzania,Africa,2008,21.6
Tanzania,Africa,2009,22.1
Tanzania,Africa,2010,22.5
Tanzania,Africa,2011,22.0
Tanzania,Africa,2012,22.4
Tanzania,Africa,2013,22.7
Tanzania,Africa,2014,22.2
Tanzania,Africa,2015,22.9
Tanzania,Africa,2016,22.5
Tanzania,Africa,2017,23.1
Tanzania,Africa,2018,22.7
Tanzania,Africa,2019,23.3
Thailand,Asia,2000,26.1
Thailand,Asia,2001,26.4
Thailand,Asia,2002,26.2
Thailand,Asia,2003,26.6
Thailand,Asia,2004,26.3
Thailand,Asia,2005,26.7
Thailand,Asia,2006,27.0
Thailand,Asia,2007,26.5
Thailand,Asia,2008,26.3
Thailand,Asia,2009,26.8
Thailand,Asia,2010,27.2
Thailand,Asia,2011,26.7
Thailand,Asia,2012,27.1
Thailand,Asia,2013,27.4
Thailand,Asia,2014,26.9
Thailand,Asia,2015,27.6
Thailand,Asia,2016,27.2
Thailand,Asia,2017,27.8
Thailand,Asia,2018,27.4
Thailand,Asia,2019,28.0
Turkey,Middle East,2000,11.5
Turkey,Middle East,2001,11.8
Turkey,Middle East,2002,11.6
Turkey,Middle East,2003,12.1
Turkey,Middle East,2004,11.7
Turkey,Middle East,2005,12.2
Turkey,Middle East,2006,12.5
Turkey,Middle East,2007,12.0
Turkey,Middle East,2008,11.8
Turkey,Middle East,2009,12.3
Turkey,Middle East,2010,12.7
Turkey,Middle East,2011,12.2
Turkey,Middle East,2012,12.6
Turkey,Middle East,2013,12.9
Turkey,Middle East,2014,12.4
Turkey,Middle East,2015,13.1
Turkey,Middle East,2016,12.7
Turkey,Middle East,2017,13.3
Turkey,Middle East,2018,12.9
Turkey,Middle East,2019,13.5
Uganda,Africa,2000,20.8
Uganda,Africa,2001,21.1
Uganda,Africa,2002,20.9
Uganda,Africa,2003,21.4
Uganda,Africa,2004,21.0
Uganda,Africa,2005,21.5
Uganda,Africa,2006,21.8
Uganda,Africa,2007,21.3
Uganda,Africa,2008,21.1
Uganda,Africa,2009,21.6
Uganda,Africa,2010,22.0
Uganda,Africa,2011,21.5
Uganda,Africa,2012,21.9
Uganda,Africa,2013,22.2
Uganda,Africa,2014,21.7
Uganda,Africa,2015,22.4
